UPI_Banks,Volume_Mn_By_Customers,Volume_Mn,Value_Cr,Month,Year,Total_Value_Cr,Total_Volume_Mn
Jupiter,1.89,1.89,223.22,6,2022.0,446.44,3.78
Jupiter,2.1,2.1,254.14,7,2022.0,508.28,4.2
Jupiter Edge (LivQuick PPI App),0.01,0.01,0.43,4,2022.0,0.86,0.02
Jupiter Edge (LivQuick PPI),0.1,0.1,5.74,5,2022.0,11.48,0.2
Jupiter Edge (LivQuick PPI),0.13,0.13,8.72,6,2022.0,17.44,0.26
Jupiter Money,1.02,1.02,156.15,1,2022.0,312.3,2.04
Jupiter Money,1.13,1.13,140.79,2,2022.0,281.58,2.26
Karnataka Bank App,0.25,0.25,31.19,1,2022.0,62.38,0.5
Karnataka Bank App,0.25,0.25,31.35,2,2022.0,62.7,0.5
Karnataka Bank Apps,0.3,0.3,37.96,3,2022.0,75.92,0.6
Karnataka Bank Apps,0.27,0.27,35.58,4,2022.0,71.16,0.54
Karnataka Bank Apps,0.33,0.33,40.34,5,2022.0,80.68,0.66
Karnataka Bank Apps,0.32,0.32,43.13,6,2022.0,86.26,0.64
Karnataka Bank Apps,0.35,0.35,48.01,7,2022.0,96.02,0.7
Karur Vysya Bank App,0.04,0.04,17.37,1,2022.0,34.74,0.08
Karur Vysya Bank App,0.04,0.04,17.17,2,2022.0,34.34,0.08
Karur Vysya Bank Apps,0.04,0.04,18.29,3,2022.0,36.58,0.08
Karur Vysya Bank Apps,0.04,0.04,18.54,4,2022.0,37.08,0.08
Karur Vysya Bank Apps,0.04,0.04,17.69,5,2022.0,35.38,0.08
Karur Vysya Bank Apps,0.04,0.04,15.91,6,2022.0,31.82,0.08
Karur Vysya Bank Apps,0.04,0.04,15.66,7,2022.0,31.32,0.08
MakeMy Trip,0.06,0.06,19.63,1,2022.0,39.26,0.12
MakeMy Trip,0.08,0.08,33.03,2,2022.0,66.06,0.16
MakeMyTrip,0.1,0.1,47.1,3,2022.0,94.2,0.2
MakeMyTrip,0.09,0.09,41.18,4,2022.0,82.36,0.18
MakeMyTrip,0.09,0.09,43.26,5,2022.0,86.52,0.18
MakeMyTrip,0.11,0.11,51.45,6,2022.0,102.9,0.22
MakeMyTrip,0.13,0.13,58.19,7,2022.0,116.38,0.26
MI Pay,0.27,0.27,40.51,1,2022.0,81.02,0.54
MI Pay,0.25,0.25,38.46,2,2022.0,76.92,0.5
MI Pay,0.24,0.24,36.02,3,2022.0,72.04,0.48
MI Pay,0.19,0.19,28.58,4,2022.0,57.16,0.38
MI Pay,0.2,0.2,33.9,5,2022.0,67.8,0.4
MI Pay,0.17,0.17,29.61,6,2022.0,59.22,0.34
MI Pay,0.16,0.16,26.98,7,2022.0,53.96,0.32
Mobikwik,3.87,3.87,886.55,1,2022.0,1773.1,7.74
Mobikwik,3.78,3.78,755.89,2,2022.0,1511.78,7.56
Mobikwik,3.6,3.6,739.25,3,2022.0,1478.5,7.2
Mobikwik,2.37,2.37,421.47,4,2022.0,842.94,4.74
Mobikwik,2.46,2.46,397.7,5,2022.0,795.4,4.92
Mobikwik,2.31,2.31,404.63,6,2022.0,809.26,4.62
Mobikwik,2.48,2.48,462.17,7,2022.0,924.34,4.96
NSDL Payments Bank App,0.02,0.02,1.45,1,2022.0,2.9,0.04
NSDL Payments Bank App,0.02,0.02,1.77,2,2022.0,3.54,0.04
NSDL Payments Bank Apps,0.02,0.02,2.28,3,2022.0,4.56,0.04
NSDL Payments Bank Apps,0.02,0.02,2.32,4,2022.0,4.64,0.04
NSDL Payments Bank Apps,0.02,0.02,2.39,5,2022.0,4.78,0.04
NSDL Payments Bank Apps,0.02,0.02,2.44,6,2022.0,4.88,0.04
NSDL Payments Bank Apps,0.02,0.02,3.5,7,2022.0,7.0,0.04
Others,0.02,0.02,9.08,1,2022.0,18.16,0.04
Others,0.02,0.02,8.15,2,2022.0,16.3,0.04
Others,0.02,0.02,8.11,3,2022.0,16.22,0.04
Others,0.02,0.02,8.26,4,2022.0,16.52,0.04
Others,0.03,0.03,10.7,5,2022.0,21.4,0.06
Others,0.02,0.02,6.34,6,2022.0,12.68,0.04
Others,0.02,0.02,5.15,7,2022.0,10.3,0.04
Punjab National Bank App,0.09,0.09,44.86,1,2022.0,89.72,0.18
Punjab National Bank App,0.08,0.08,43.49,2,2022.0,86.98,0.16
Punjab National Bank Apps,0.09,0.09,46.64,3,2022.0,93.28,0.18
Punjab National Bank Apps,0.09,0.09,46.27,4,2022.0,92.54,0.18
Punjab National Bank Apps,0.09,0.09,43.77,5,2022.0,87.54,0.18
Punjab National Bank Apps,0.08,0.08,40.68,6,2022.0,81.36,0.16
Punjab National Bank Apps,0.07,0.07,35.7,7,2022.0,71.4,0.14
Punjab Sind Bank Apps,0.01,0.01,3.8,3,2022.0,7.6,0.02
Punjab Sind Bank Apps,0.01,0.01,5.38,4,2022.0,10.76,0.02
Punjab Sind Bank Apps,0.01,0.01,6.39,5,2022.0,12.78,0.02
Punjab Sind Bank Apps,0.01,0.01,5.93,6,2022.0,11.86,0.02
Punjab Sind Bank Apps,0.01,0.01,4.03,7,2022.0,8.06,0.02
Punjab Sindh Bank App,0.01,0.01,2.87,1,2022.0,5.74,0.02
Punjab Sindh Bank Apps,0.01,0.01,2.66,2,2022.0,5.32,0.02
RBL Bank App,0.42,0.43,101.45,1,2022.0,202.9,0.85
RBL Bank App,0.51,0.51,107.25,2,2022.0,214.5,1.02
RBL Bank Apps,0.46,0.46,126.75,3,2022.0,253.49,0.92
RBL Bank Apps,0.3,0.3,113.65,4,2022.0,227.3,0.6
RBL Bank Apps,0.32,0.38,125.39,5,2022.0,249.4,0.7
RBL Bank Apps,0.35,0.42,123.89,6,2022.0,244.89,0.77
RBL Bank Apps,0.52,0.54,121.17,7,2022.0,241.65,1.06
Samsung Pay,3.17,3.17,431.07,1,2022.0,862.14,6.34
Samsung Pay,3.14,3.14,421.97,2,2022.0,843.94,6.28
Samsung Pay,3.73,3.73,473.5,3,2022.0,947.0,7.46
Samsung Pay,3.81,3.81,470.11,4,2022.0,940.22,7.62
Samsung Pay,4.11,4.11,490.3,5,2022.0,980.6,8.22
Samsung Pay,4.07,4.07,468.23,6,2022.0,936.46,8.14
Samsung Pay,4.05,4.05,472.39,7,2022.0,944.78,8.1
South Indian Bank App,0.13,0.13,41.4,1,2022.0,82.8,0.26
South Indian Bank App,0.12,0.12,38.69,2,2022.0,77.38,0.24
South Indian Bank Apps,0.13,0.13,44.63,3,2022.0,89.26,0.26
South Indian Bank Apps,0.13,0.13,45.03,4,2022.0,90.06,0.26
South Indian Bank Apps,0.14,0.14,49.73,5,2022.0,99.46,0.28
South Indian Bank Apps,0.14,0.14,46.66,6,2022.0,93.32,0.28
South Indian Bank Apps,0.15,0.15,46.97,7,2022.0,93.94,0.3
Standard Chartered Bank App,0.11,0.11,60.49,1,2022.0,120.98,0.22
Standard Chartered Bank App,0.12,0.12,64.7,2,2022.0,129.4,0.24
Standard Chartered Bank Apps,0.13,0.13,69.84,3,2022.0,139.68,0.26
Standard Chartered Bank Apps,0.12,0.12,68.15,4,2022.0,136.3,0.24
Standard Chartered Bank Apps,0.13,0.13,70.48,5,2022.0,140.96,0.26
Standard Chartered Bank Apps,0.13,0.13,69.13,6,2022.0,138.26,0.26
Standard Chartered Bank Apps,0.14,0.14,74.11,7,2022.0,148.22,0.28
SuperPay,0.1,0.1,0.64,3,2022.0,1.28,0.2
SuperPay,0.02,0.02,0.4,4,2022.0,0.8,0.04
Tamilnad Mercantile Bank Apps,0.01,0.01,0.26,4,2022.0,0.52,0.02
Tamilnad Mercantile Bank Apps,0.01,0.01,1.13,5,2022.0,2.26,0.02
Tamilnad Mercantile Bank Apps,0.03,0.03,4.02,6,2022.0,8.04,0.06
Tamilnad Mercantile Bank Apps,0.05,0.05,6.78,7,2022.0,13.56,0.1
TataNeu,0.35,0.35,32.82,4,2022.0,65.64,0.7
TataNeu,0.22,0.22,30.33,5,2022.0,60.66,0.44
TataNeu,0.12,0.12,19.41,6,2022.0,38.82,0.24
TataNeu,0.11,0.11,17.26,7,2022.0,34.52,0.22
TJSB Bank Apps,0.01,0.01,2.1,6,2022.0,4.2,0.02
TJSB Bank Apps,0.01,0.01,2.26,7,2022.0,4.52,0.02
UCO Bank App,0.16,0.16,37.26,1,2022.0,74.52,0.32
UCO Bank App,0.16,0.16,35.05,2,2022.0,70.1,0.32
UCO Bank Apps,0.19,0.19,40.88,3,2022.0,81.76,0.38
UCO Bank Apps,0.21,0.21,41.48,4,2022.0,82.96,0.42
UCO Bank Apps,0.22,0.22,46.39,5,2022.0,92.78,0.44
UCO Bank Apps,0.22,0.22,42.3,6,2022.0,84.6,0.44
UCO Bank Apps,0.22,0.22,46.83,7,2022.0,93.66,0.44
Ultracash,2.14,2.14,177.63,1,2022.0,355.26,4.28
Ultracash,1.51,1.51,158.7,2,2022.0,317.4,3.02
Ultracash,0.03,0.03,1.12,3,2022.0,2.24,0.06
Ultracash,0.03,0.03,2.22,4,2022.0,4.44,0.06
Ultracash,0.05,0.05,4.4,5,2022.0,8.8,0.1
Ultracash,0.03,0.03,3.32,6,2022.0,6.64,0.06
Ultracash,0.03,0.03,2.08,7,2022.0,4.16,0.06
Union Bank Apps,0.39,0.39,182.27,1,2022.0,364.54,0.78
Union Bank Apps,0.35,0.35,166.72,2,2022.0,333.44,0.7
Union Bank Apps,0.41,0.41,197.01,3,2022.0,394.02,0.82
Union Bank Apps,0.42,0.42,198.34,4,2022.0,396.68,0.84
Union Bank Apps,0.45,0.45,211.85,5,2022.0,423.7,0.9
Union Bank Apps,0.45,0.45,199.8,6,2022.0,399.6,0.9
Union Bank Apps,0.49,0.49,208.03,7,2022.0,416.06,0.98
Utkarsh Small Finance Bank,0.01,0.01,2.42,2,2022.0,4.84,0.02
Utkarsh Small Finance Bank Apps,0.01,0.01,3.9,3,2022.0,7.8,0.02
Utkarsh Small Finance Bank Apps,0.01,0.01,3.88,4,2022.0,7.76,0.02
Utkarsh Small Finance Bank Apps,0.01,0.01,4.43,5,2022.0,8.86,0.02
Utkarsh Small Finance Bank Apps,0.01,0.01,3.47,6,2022.0,6.94,0.02
Utkarsh Small Finance Bank Apps,0.02,0.02,4.55,7,2022.0,9.1,0.04
WhatsApp,2.34,2.34,205.83,1,2022.0,411.66,4.68
WhatsApp,2.24,2.24,207.09,2,2022.0,414.18,4.48
WhatsApp,2.54,2.54,239.78,3,2022.0,479.56,5.08
WhatsApp,2.5,2.5,242.4,4,2022.0,484.8,5.0
WhatsApp,3.48,3.48,294.98,5,2022.0,589.96,6.96
WhatsApp,23.04,23.04,429.06,6,2022.0,858.12,46.08
WhatsApp,6.18,6.18,502.0,7,2022.0,1004.0,12.36
YuvaPay,0.05,0.05,77.12,1,2022.0,154.24,0.1
YuvaPay,0.05,0.05,89.7,2,2022.0,179.4,0.1
YuvaPay,0.06,0.06,105.39,3,2022.0,210.78,0.12
YuvaPay,0.06,0.06,103.34,4,2022.0,206.68,0.12
YuvaPay,0.04,0.04,88.95,5,2022.0,177.9,0.08
YuvaPay,0.03,0.03,58.31,6,2022.0,116.62,0.06
