UPI_Banks,Volume_Mn_By_Customers,Volume_Mn,Value_Cr,Month,Year,Total_Value_Cr,Total_Volume_Mn
Yes Bank Apps,29.14,29.14,4831.58,3,2021.0,9663.16,58.28
Yes Bank Apps,29.34,29.34,3396.01,2,2021.0,6792.02,58.68
Yes Bank Apps,14.78,14.78,3207.95,1,2021.0,6415.9,29.56
YuvaPay,0.05,0.05,78.43,12,2021.0,156.86,0.1
YuvaPay,0.04,0.04,66.62,11,2021.0,133.24,0.08
YuvaPay,0.04,0.04,61.62,10,2021.0,123.24,0.08
YuvaPay,0.04,0.04,46.94,9,2021.0,93.88,0.08
YuvaPay,0.02,0.02,19.01,8,2021.0,38.02,0.04
YuvaPay,0.48,0.48,38.3,7,2021.0,76.6,0.96
YuvaPay,1.33,1.33,60.44,6,2021.0,120.88,2.66
YuvaPay,2.32,2.32,73.16,5,2021.0,146.32,4.64
YuvaPay,1.59,1.59,51.22,4,2021.0,102.44,3.18
YuvaPay,0.56,0.56,18.56,3,2021.0,37.12,1.12
YuvaPay,0.02,0.02,0.63,2,2021.0,1.26,0.04
Airtel Payments Bank Apps,5.29,5.3,460.9,4,2022.0,915.54,10.59
Airtel Payments Bank Apps,6.1,6.11,486.62,5,2022.0,973.17,12.21
Airtel Payments Bank Apps,6.38,6.38,506.2,6,2022.0,1012.34,12.76
Airtel Payments Bank Apps,7.4,7.41,555.26,7,2022.0,1110.35,14.81
Allahabad Bank App,0.02,0.02,7.36,1,2022.0,14.72,0.04
Allahabad Bank App,0.02,0.02,6.28,2,2022.0,12.56,0.04
Allahabad Bank Apps,0.02,0.02,6.15,3,2022.0,12.3,0.04
Allahabad Bank Apps,0.02,0.02,6.25,5,2022.0,12.5,0.04
Allahabad Bank Apps,0.02,0.02,6.79,6,2022.0,13.58,0.04
Allahabad Bank Apps,0.03,0.03,6.95,7,2022.0,13.9,0.06
AU Small Finance Bank App,0.23,0.23,81.15,1,2022.0,162.3,0.46
AU Small Finance Bank App,0.25,0.25,89.36,2,2022.0,178.72,0.5
AU Small Finance Bank Apps,0.29,0.29,104.48,3,2022.0,208.96,0.58
AU Small Finance Bank Apps,0.32,0.32,109.89,4,2022.0,219.78,0.64
AU Small Finance Bank Apps,0.35,0.35,107.22,5,2022.0,214.44,0.7
AU Small Finance Bank Apps,0.38,0.38,120.24,6,2022.0,240.48,0.76
AU Small Finance Bank Apps,0.42,0.42,131.49,7,2022.0,262.98,0.84
Bajaj Finserv,0.24,0.24,12.88,1,2022.0,25.76,0.48
Bajaj Finserv,0.33,0.33,19.32,2,2022.0,38.64,0.66
Bajaj Finserv,0.35,0.35,24.08,3,2022.0,48.16,0.7
Bajaj Finserv,0.52,0.52,38.61,4,2022.0,77.22,1.04
Bajaj Finserv,0.79,0.79,58.53,5,2022.0,117.06,1.58
Bajaj Finserv,1.16,1.16,85.49,6,2022.0,170.98,2.32
Bajaj Finserv,1.95,1.95,128.52,7,2022.0,257.04,3.9
Bajaj Markets,0.01,0.01,1.2,6,2022.0,2.4,0.02
