UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Bajaj Finserv,0.06,4.3,0.06,4.3,10,2021
Bajaj Finserv,0.04,3.03,0.04,3.03,9,2021
Bajaj Finserv,0.04,2.85,0.04,2.85,8,2021
Bajaj Finserv,0.02,1.55,0.02,1.55,7,2021
Bajaj Finserv,0.01,1.05,0.01,1.05,6,2021
Bajaj Finserv,0.01,0.77,0.01,0.77,5,2021
Bajaj Finserv,0.01,0.96,0.01,0.96,4,2021
Bajaj Finserv,0.01,1.02,0.01,1.02,3,2021
Bajaj Finserv,0.01,1.03,0.01,1.03,2,2021
Bajaj Finserv,0.01,0.99,0.01,0.99,1,2021
Bank of Baroda Apps,0.75,333.91,0.75,333.91,12,2021
Bank of Baroda Apps,0.75,329.76,0.75,329.77,11,2021
Bank of Baroda Apps,0.8,344.85,0.8,344.85,10,2021
Bank of Baroda Apps,0.73,293.05,0.73,293.05,9,2021
Bank of Baroda Apps,0.75,302.05,0.75,302.06,8,2021
Bank of Baroda Apps,0.67,284.98,0.67,284.99,7,2021
Bank of Baroda Apps,0.6,265.38,0.6,265.38,6,2021
Bank of Baroda Apps,0.54,230.89,0.54,230.89,5,2021
Bank of Baroda Apps,0.56,238.5,0.56,238.5,4,2021
Bank of Baroda Apps,0.78,294.28,0.78,294.28,3,2021
Bank of Baroda Apps,0.66,256.49,0.66,256.49,2,2021
Bank of Baroda Apps,0.75,293.25,0.75,293.25,1,2021
Bank of India App,0.04,17.26,0.04,17.26,12,2021
Bank of India App,0.03,13.54,0.03,13.54,11,2021
Bank of India App,0.03,12.88,0.03,12.88,10,2021
Bank of India App,0.03,12.45,0.03,12.45,9,2021
Bank of India App,0.03,10.31,0.03,10.31,8,2021
Bank of India App,0.03,9.8,0.03,9.8,7,2021
Bank of India App,0.02,8.25,0.02,8.25,6,2021
Bank of India App,0.01,5.23,0.01,5.23,5,2021
Bank of India App,0.01,2.11,0.01,2.11,4,2021
Bank of Maharashtra App,0.05,11.52,0.05,11.52,12,2021
Bank of Maharashtra App,0.04,10.84,0.04,10.84,11,2021
Bank of Maharashtra App,0.04,10.5,0.04,10.5,10,2021
Bank of Maharashtra App,0.04,7.8,0.04,7.8,9,2021
Bank of Maharashtra App,0.04,7.76,0.04,7.76,8,2021
Bank of Maharashtra App,0.03,7.27,0.03,7.27,7,2021
Bank of Maharashtra App,0.03,6.82,0.03,6.82,6,2021
Bank of Maharashtra App,0.02,6.18,0.02,6.18,5,2021
Bank of Maharashtra App,0.02,6.05,0.02,6.05,4,2021
Bank of Maharashtra App,0.03,6.73,0.03,6.73,3,2021
Bank of Maharashtra App,0.02,5.73,0.02,5.73,2,2021
Bank of Maharashtra App,0.02,6.37,0.02,6.37,1,2021
BHIM,27.12,8831.67,27.12,8831.67,12,2021
BHIM,25.23,8237.22,25.23,8237.22,11,2021
BHIM,27.27,8513.82,27.27,8513.82,10,2021
BHIM,25.36,7538.58,25.36,7538.58,9,2021
BHIM,26.33,8063.93,26.33,8063.93,8,2021
BHIM,23.76,7442.86,23.76,7442.86,7,2021
BHIM,22.84,7319.77,22.84,7319.77,6,2021
BHIM,21.02,6776.2,21.02,6776.2,5,2021
BHIM,22.26,6886.78,22.26,6886.78,4,2021
BHIM,24.42,7653.21,24.42,7653.21,3,2021
BHIM,20.44,6379.91,20.44,6379.91,2,2021
BHIM,23.38,7462.94,23.38,7462.94,1,2021
Canara Bank App,0.25,90.72,0.25,90.72,12,2021
Canara Bank App,0.21,78.32,0.21,78.32,11,2021
Canara Bank App,0.21,77.06,0.21,77.06,10,2021
Canara Bank App,0.16,51.88,0.16,51.88,9,2021
Canara Bank App,0.14,56.23,0.14,56.23,8,2021
Canara Bank App,0.11,55.83,0.11,55.83,7,2021
Canara Bank App,0.1,52.64,0.1,52.64,6,2021
Canara Bank App,0.09,45.92,0.09,45.92,5,2021
Canara Bank App,0.09,43.87,0.09,43.87,4,2021
Canara Bank App,0.1,47.87,0.1,47.87,3,2021
Canara Bank App,0.08,37.39,0.08,37.39,2,2021
Canara Bank App,0.09,40.52,0.09,40.52,1,2021
Central Bank of India App,0.13,46.47,0.13,46.47,12,2021
Central Bank of India App,0.11,43.57,0.11,43.57,11,2021
Central Bank of India App,0.12,45.48,0.12,45.48,10,2021
Central Bank of India App,0.13,47.35,0.13,47.35,9,2021
Central Bank of India App,0.13,47.83,0.13,47.83,8,2021
Central Bank of India App,0.12,46.71,0.12,46.71,7,2021
Central Bank of India App,0.11,45.3,0.11,45.3,6,2021
Central Bank of India App,0.1,42.18,0.1,42.18,5,2021
Central Bank of India App,0.11,41.58,0.11,41.58,4,2021
Central Bank of India App,0.12,46.03,0.12,46.03,3,2021
Central Bank of India App,0.1,39.78,0.1,39.78,2,2021
Central Bank of India App,0.11,40.45,0.11,40.45,1,2021
Citi Bank App,0.09,76.94,0.09,76.94,12,2021
Citi Bank App,0.09,77.41,0.09,77.41,11,2021
Citi Bank App,0.11,81.21,0.11,81.21,10,2021
Citi Bank App,0.12,68.42,0.12,68.42,9,2021
Citi Bank App,0.09,72.04,0.09,72.04,8,2021
Citi Bank App,0.09,80.39,0.09,80.39,7,2021
Citi Bank App,0.08,75.09,0.08,75.09,6,2021
Citi Bank App,0.08,70.14,0.08,70.14,5,2021
Citi Bank App,0.08,68.17,0.08,68.17,4,2021
Citi Bank App,0.1,71.02,0.1,71.02,3,2021
Citi Bank App,0.1,64.89,0.1,64.89,2,2021
Citi Bank App,0.09,71.3,0.09,71.3,1,2021
City Union Bank App,0.01,4.61,0.01,4.61,12,2021
City Union Bank App,0.01,3.85,0.01,3.85,11,2021
City Union Bank App,0.01,3.95,0.01,3.95,10,2021
City Union Bank App,0.01,3.32,0.01,3.32,9,2021
City Union Bank App,0.01,2.73,0.01,2.73,8,2021
City Union Bank App,0.01,2.09,0.01,2.09,7,2021
Cointab,0.94,144.16,0.94,144.16,12,2021
Cointab,0.64,112.28,0.64,112.28,11,2021
Cointab,0.45,84.71,0.45,84.71,10,2021
Cointab,0.34,69.81,0.34,69.81,9,2021
Cointab,0.28,63.77,0.28,63.77,8,2021
Cointab,0.17,49.15,0.17,49.15,7,2021
Cointab,0.12,40.95,0.12,40.95,6,2021
Cointab,0.1,35.72,0.1,35.72,5,2021
Cointab,0.11,40.84,0.11,40.84,4,2021
Cointab,0.12,45.71,0.12,45.71,3,2021
Cointab,0.12,41.56,0.12,41.56,2,2021
Cointab,0.13,43.7,0.13,43.7,1,2021
Cred,10.36,13817.16,10.36,13817.16,12,2021
Cred,9.03,12277.85,9.03,12277.85,11,2021
Cred,9.73,12561.25,9.73,12561.25,10,2021
Cred,7.74,9614.36,7.74,9614.36,9,2021
Cred,7.5,9040.43,7.5,9040.43,8,2021
Cred,7.12,8121.41,7.12,8121.41,7,2021
Cred,5.77,6151.57,5.77,6151.57,6,2021
Cred,5.65,6142.78,5.65,6142.78,5,2021
Cred,5.08,5419.88,5.08,5419.88,4,2021
Cred,4.96,5389.97,4.96,5389.97,3,2021
Cred,3.94,4229.11,3.94,4229.11,2,2021
Cred,4.08,4247.83,4.08,4247.83,1,2021
DBS Digibank App,0.55,190.75,0.55,190.75,12,2021
DBS Digibank App,0.52,185.2,0.52,185.2,11,2021
DBS Digibank App,0.58,198.18,0.58,198.18,10,2021
DBS Digibank App,0.55,180.79,0.55,180.79,9,2021
DBS Digibank App,0.57,187.52,0.57,187.52,8,2021
DBS Digibank App,0.57,189.67,0.57,189.67,7,2021
DBS Digibank App,0.51,170.57,0.51,170.57,6,2021
DBS Digibank App,0.47,160.73,0.47,160.73,5,2021
DBS Digibank App,0.54,164.93,0.54,164.93,4,2021
DBS Digibank App,0.59,178.13,0.59,178.13,3,2021
DBS Digibank App,0.52,167.48,0.52,167.48,2,2021
DBS Digibank App,0.56,178.75,0.56,178.75,1,2021
Dena Bank App,0.02,26.08,0.02,26.08,12,2021
Dena Bank App,0.02,24.11,0.02,24.11,11,2021
Dena Bank App,0.02,27.43,0.02,27.43,10,2021
Dena Bank App,0.02,24.37,0.02,24.37,9,2021
Dena Bank App,0.02,23.12,0.02,23.12,8,2021
Dena Bank App,0.02,24.26,0.02,24.26,7,2021
Dena Bank App,0.02,21.57,0.02,21.57,6,2021
Dena Bank App,0.02,20.9,0.02,20.9,5,2021
Dena Bank App,0.02,22.37,0.02,22.37,4,2021
Dena Bank App,0.02,23.57,0.02,23.57,3,2021
Dena Bank App,0.01,17.66,0.01,17.66,2,2021
Dena Bank App,0.02,20.5,0.02,20.5,1,2021
Deutsche Bank App,0.85,85.62,0.85,86.2,12,2021
Deutsche Bank App,0.98,115.42,0.98,115.42,11,2021
Deutsche Bank App,0.85,98.84,0.85,99.23,10,2021
Deutsche Bank App,0.76,70.24,0.76,70.24,9,2021
Deutsche Bank App,0.73,81.7,0.73,81.74,8,2021
Deutsche Bank App,0.52,55.42,0.52,55.55,7,2021
Deutsche Bank App,0.32,27.44,0.32,27.44,6,2021
Deutsche Bank App,0.21,14.69,0.21,14.73,5,2021
Deutsche Bank App,0.43,43.32,0.43,43.58,4,2021
Deutsche Bank App,0.71,79.28,0.71,79.58,3,2021
Deutsche Bank App,0.55,59.97,0.55,59.97,2,2021
