UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Mobikwik,4.24,985.86,4.24,985.86,12,2021
Mobikwik,5.18,1478.95,5.18,1478.95,11,2021
Mobikwik,4.08,1070.32,4.08,1070.32,10,2021
Mobikwik,3.2,687.94,3.2,687.94,9,2021
Mobikwik,2.59,418.04,2.59,418.04,8,2021
Mobikwik,2.8,402.42,2.8,402.42,7,2021
Mobikwik,3.21,535.12,3.21,535.12,6,2021
Mobikwik,3.18,467.11,3.18,467.11,5,2021
Mobikwik,2.09,254.32,2.09,254.32,4,2021
Mobikwik,2.22,315.59,2.22,315.59,3,2021
Mobikwik,1.92,216.94,1.92,216.94,2,2021
Mobikwik,1.94,253.16,1.94,253.16,1,2021
NSDL Payments Bank App,0.01,1.31,0.01,1.31,12,2021
NSDL Payments Bank App,0.01,1.11,0.01,1.11,11,2021
NSDL Payments Bank App,0.01,0.84,0.01,0.84,9,2021
NSDL Payments Bank App,0.01,0.85,0.01,0.85,8,2021
NSDL Payments Bank App,0.01,0.86,0.01,0.86,7,2021
NSDL Payments Bank App,0.01,0.58,0.01,0.58,5,2021
Other Apps,0.03,14.98,0.03,14.98,11,2021
Other Apps,0.05,21.51,0.05,21.51,10,2021
Other Apps,0.03,11.75,0.03,11.75,9,2021
Other Apps,0.02,10.41,0.02,10.41,8,2021
Other Apps,0.03,13.88,0.03,13.88,4,2021
Other Apps,0.02,11.62,0.02,11.62,3,2021
Other Apps,0.02,10.49,0.02,10.49,2,2021
Other Apps,0.03,10.76,0.03,10.76,1,2021
Other Bank Apps,0.04,16.61,0.04,16.61,7,2021
Others,0.02,8.74,0.02,8.74,12,2021
Others,0.05,19.27,0.05,19.27,6,2021
Others,0.03,12.47,0.03,12.47,5,2021
Paytm Payments Bank App,612.71,71874.13,706.37,88094.49,12,2021
Paytm Payments Bank App,543.71,66920.55,631.3,81403.37,11,2021
Paytm Payments Bank App,542.57,64727.41,632.18,80508.04,10,2021
Paytm Payments Bank App,462.71,53793.06,543.55,61417.53,9,2021
Paytm Payments Bank App,423.63,50021.4,498.65,56319.62,8,2021
Paytm Payments Bank App,387.85,46406.52,454.06,51694.41,7,2021
Paytm Payments Bank App,326.53,40614.09,383.05,44981.11,6,2021
Paytm Payments Bank App,290.69,35715.48,343.81,43741.16,5,2021
Paytm Payments Bank App,320.78,36859.2,372.7,41469.53,4,2021
Paytm Payments Bank App,344.99,38653.06,401.16,43221.25,3,2021
Paytm Payments Bank App,290.03,34405.44,340.71,38493.52,2,2021
Paytm Payments Bank App,281.18,33909.5,332.69,37845.76,1,2021
PhonePe,2077.6,394565.58,2077.6,394565.58,12,2021
PhonePe,1911.21,365044.32,1911.21,365044.32,11,2021
PhonePe,1937.57,365845.39,1937.57,365845.39,10,2021
PhonePe,1653.19,306437.37,1653.19,306437.37,9,2021
PhonePe,1622.95,301644.8,1622.95,301644.8,8,2021
PhonePe,1492.09,288573,1492.09,288572.9,7,2021
PhonePe,1292.71,262565.88,1292.71,262565.88,6,2021
PhonePe,1149.84,234123.57,1149.84,234123.57,5,2021
PhonePe,1189.89,234023.33,1189.89,234023.33,4,2021
PhonePe,1199.51,231412.33,1199.51,231412.33,3,2021
PhonePe,975.53,189517.82,975.53,189517.82,2,2021
PhonePe,968.72,191973.77,968.72,191973.77,1,2021
Punjab National Bank App,0.07,33.76,0.07,33.76,12,2021
Punjab National Bank App,0.07,31.14,0.07,31.14,11,2021
Punjab National Bank App,0.08,32.06,0.08,32.06,10,2021
Punjab National Bank App,0.07,25.07,0.07,25.07,9,2021
Punjab National Bank App,0.04,15.28,0.04,15.28,8,2021
Punjab National Bank App,0.02,8.86,0.02,8.86,7,2021
Punjab National Bank App,0.08,41.1,0.08,41.1,6,2021
Punjab National Bank App,0.11,55.51,0.11,55.51,5,2021
Punjab National Bank App,0.12,63.07,0.12,63.07,4,2021
Punjab National Bank App,0.14,72.25,0.14,72.25,3,2021
Punjab National Bank App,0.13,62.93,0.13,62.93,2,2021
Punjab National Bank App,0.13,64.68,0.13,64.68,1,2021
Punjab Sind Bank App,0.01,3.21,0.01,3.21,3,2021
Punjab Sind Bank App,0.01,3.67,0.01,3.67,2,2021
Punjab Sind Bank App,0.01,3.18,0.01,3.18,1,2021
Punjab Sindh Bank App,0.01,2.7,0.01,2.7,9,2021
Punjab Sindh Bank App,0.01,2.53,0.01,2.53,8,2021
RBL Bank App,0.35,102.17,0.35,102.17,12,2021
RBL Bank App,0.25,81.95,0.25,81.95,11,2021
RBL Bank App,0.22,84.08,0.22,84.08,10,2021
RBL Bank App,0.17,65.95,0.17,65.95,9,2021
RBL Bank App,0.16,70.24,0.16,70.24,8,2021
RBL Bank App,0.15,68.54,0.15,68.54,7,2021
RBL Bank App,0.13,61.95,0.13,61.95,6,2021
RBL Bank App,0.12,56.21,0.12,56.21,5,2021
RBL Bank App,0.13,58.08,0.13,58.08,4,2021
RBL Bank App,0.14,59.94,0.14,59.94,3,2021
RBL Bank App,0.12,49.4,0.12,49.4,2,2021
RBL Bank App,0.12,48.58,0.12,48.58,1,2021
RealMe,0.01,0.41,0.01,0.41,8,2021
RealMe,0.01,1.44,0.01,1.44,3,2021
RealMe,0.01,1.63,0.01,1.63,2,2021
RealMe,0.01,1.86,0.01,1.86,1,2021
Samsung Pay,3.21,436.3,3.21,436.3,12,2021
Samsung Pay,2.8,412.13,2.8,412.13,11,2021
Samsung Pay,2.81,428.41,2.81,428.41,10,2021
Samsung Pay,2.37,371.1,2.37,371.1,9,2021
Samsung Pay,2.25,372.08,2.25,372.08,8,2021
Samsung Pay,2.02,367.67,2.02,367.67,7,2021
Samsung Pay,1.64,331.04,1.64,331.04,6,2021
Samsung Pay,1.36,302.68,1.36,302.68,5,2021
Samsung Pay,1.62,312.93,1.62,312.93,4,2021
Samsung Pay,1.83,326.96,1.83,326.96,3,2021
Samsung Pay,1.65,296.08,1.65,296.08,2,2021
Samsung Pay,1.67,314.07,1.67,314.07,1,2021
South Indian Bank App,0.13,39.92,0.13,39.92,12,2021
South Indian Bank App,0.11,36.91,0.11,36.91,11,2021
South Indian Bank App,0.11,37.4,0.11,37.4,10,2021
South Indian Bank App,0.09,31.18,0.09,31.18,9,2021
South Indian Bank App,0.09,31.69,0.09,31.69,8,2021
South Indian Bank App,0.08,28.23,0.08,28.23,7,2021
South Indian Bank App,0.06,24.3,0.06,24.3,6,2021
South Indian Bank App,0.05,19.67,0.05,19.67,5,2021
South Indian Bank App,0.07,23.53,0.07,23.53,4,2021
South Indian Bank App,0.07,25.5,0.07,25.5,3,2021
South Indian Bank App,0.06,22.61,0.06,22.61,2,2021
South Indian Bank App,0.06,22.77,0.06,22.77,1,2021
Standard Chartered Bank App,0.1,60.26,0.1,60.26,12,2021
Standard Chartered Bank App,0.09,53.87,0.09,53.87,11,2021
Standard Chartered Bank App,0.1,56.38,0.1,56.38,10,2021
Standard Chartered Bank App,0.08,45.86,0.08,45.86,9,2021
Standard Chartered Bank App,0.08,45.31,0.08,45.31,8,2021
Standard Chartered Bank App,0.08,46.29,0.08,46.29,7,2021
Standard Chartered Bank App,0.06,39.42,0.06,39.42,6,2021
Standard Chartered Bank App,0.06,36.73,0.06,36.73,5,2021
Standard Chartered Bank App,0.06,33.32,0.06,33.32,4,2021
Standard Chartered Bank App,0.05,30.66,0.05,30.66,3,2021
Standard Chartered Bank App,0.05,27.11,0.05,27.11,2,2021
Standard Chartered Bank App,0.05,27.86,0.05,27.86,1,2021
State Bank of India Apps,3.63,1961.7,3.63,1961.72,12,2021
State Bank of India Apps,3.72,1990.21,3.72,1990.21,11,2021
State Bank of India Apps,3.98,2089.18,3.98,2089.18,10,2021
State Bank of India Apps,3.77,1874.58,3.77,1874.58,9,2021
State Bank of India Apps,3.69,1905.52,3.69,1905.52,8,2021
State Bank of India Apps,3.55,1908.2,3.55,1908.2,7,2021
State Bank of India Apps,3.43,1978.61,3.43,1978.61,6,2021
State Bank of India Apps,3.69,2079.32,3.69,2079.32,5,2021
State Bank of India Apps,4.14,2359.08,4.14,2359.08,4,2021
State Bank of India Apps,4.55,2578.38,4.55,2578.38,3,2021
State Bank of India Apps,4.13,2273.77,4.13,2273.77,2,2021
State Bank of India Apps,4.29,2358.82,4.29,2358.82,1,2021
Truecaller,0.01,3.55,0.01,3.55,3,2021
Truecaller,0.05,15.36,0.05,15.36,2,2021
Truecaller,0.01,1.94,0.01,1.94,1,2021
UCO Bank App,0.14,33.49,0.14,33.49,12,2021
UCO Bank App,0.12,30.41,0.12,30.41,11,2021
UCO Bank App,0.11,27.95,0.11,27.95,10,2021
UCO Bank App,0.1,23.44,0.1,23.44,9,2021
UCO Bank App,0.09,21.64,0.09,21.64,8,2021
UCO Bank App,0.08,22.5,0.08,22.5,7,2021
UCO Bank App,0.09,20.8,0.09,20.8,6,2021
UCO Bank App,0.08,19.5,0.08,19.5,5,2021
UCO Bank App,0.07,16.17,0.07,16.17,4,2021
UCO Bank App,0.07,16.08,0.07,16.08,3,2021
UCO Bank App,0.06,13.69,0.06,13.69,2,2021
UCO Bank App,0.05,14.12,0.05,14.12,1,2021
Ultracash,1.96,178.99,1.96,178.99,12,2021
Ultracash,2.13,162.44,2.13,162.44,11,2021
Ultracash,2.32,170.32,2.32,170.32,10,2021
Ultracash,2.02,163.57,2.02,163.57,9,2021
Ultracash,1.66,161.92,1.66,161.92,8,2021
Ultracash,1.45,158.45,1.45,158.45,7,2021
Ultracash,1.19,148.09,1.19,148.09,6,2021
Ultracash,1.15,142.92,1.15,142.92,5,2021
Ultracash,1.49,178.72,1.49,178.72,4,2021
Ultracash,1.33,158.23,1.33,158.23,3,2021
Ultracash,0.89,118.31,0.89,118.31,2,2021
Ultracash,0.75,120.28,0.75,120.28,1,2021
Union Bank Apps,0.36,167.6,0.36,167.6,12,2021
Union Bank Apps,0.43,178.53,0.43,178.53,11,2021
Union Bank Apps,0.66,223.98,0.66,223.98,10,2021
Union Bank Apps,0.41,155.2,0.41,155.2,9,2021
Union Bank Apps,0.37,150.94,0.37,150.94,8,2021
Union Bank Apps,0.33,137.37,0.33,137.37,7,2021
Union Bank Apps,0.29,128.37,0.29,128.37,6,2021
Union Bank Apps,0.28,110.65,0.28,110.65,5,2021
Union Bank Apps,0.34,135.79,0.34,135.79,4,2021
Union Bank Apps,0.38,144.93,0.38,144.93,3,2021
Union Bank Apps,0.32,119.4,0.32,119.4,2,2021
Union Bank Apps,0.24,99.94,0.24,99.94,1,2021
WhatsApp,2.25,188.78,2.25,188.78,12,2021
WhatsApp,2.11,149.38,2.11,149.38,11,2021
WhatsApp,1.01,62.31,1.01,62.31,9,2021
WhatsApp,0.5,44.7,0.5,44.7,8,2021
WhatsApp,0.47,45.33,0.47,45.33,7,2021
WhatsApp,0.46,42.44,0.46,42.44,6,2021
WhatsApp,0.51,48.15,0.51,48.15,5,2021
WhatsApp,0.54,47.62,0.54,47.62,4,2021
WhatsApp,0.58,38.17,0.58,38.17,3,2021
WhatsApp,0.55,32.41,0.55,32.41,2,2021
WhatsApp,0.56,36.44,0.56,36.44,1,2021
WhatsApp*,2.6,104.19,2.6,104.19,10,2021
Yes Bank Apps,24.88,5689.57,25.14,5689.75,12,2021
Yes Bank Apps,24.13,6170.96,24.34,6171.08,11,2021
Yes Bank Apps,28.32,7660.21,28.41,7660.27,10,2021
Yes Bank Apps,23.02,4994.32,23.03,4994.33,9,2021
Yes Bank Apps,24.34,5702.87,24.35,5702.87,8,2021
Yes Bank Apps,25.94,4811.73,25.94,4811.73,7,2021
Yes Bank Apps,24.72,5227.04,24.72,5227.04,6,2021
Yes Bank Apps,21.08,4486.54,21.08,4486.54,5,2021
Yes Bank Apps,22.81,5120.17,22.81,5120.17,4,2021
Yes Bank Apps,29.14,4831.58,29.14,4831.58,3,2021
Yes Bank Apps,29.34,3396.01,29.34,3396.01,2,2021
Yes Bank Apps,14.78,3207.95,14.78,3207.95,1,2021
YuvaPay,0.05,78.43,0.05,78.43,12,2021
YuvaPay,0.04,66.62,0.04,66.62,11,2021
YuvaPay,0.04,61.62,0.04,61.62,10,2021
YuvaPay,0.04,46.94,0.04,46.94,9,2021
YuvaPay,0.02,19.01,0.02,19.01,8,2021
YuvaPay,0.48,38.3,0.48,38.3,7,2021
YuvaPay,1.33,60.44,1.33,60.44,6,2021
YuvaPay,2.32,73.16,2.32,73.16,5,2021
YuvaPay,1.59,51.22,1.59,51.22,4,2021
YuvaPay,0.56,18.56,0.56,18.56,3,2021
YuvaPay,0.02,0.63,0.02,0.63,2,2021
Airtel Payments Bank Apps,8.53,"2,047.45",13.22,"4,729.77",1,2022
Airtel Payments Bank Apps,5.8,"1,199.46",7.58,"2,210.17",2,2022
Airtel Payments Bank Apps,8.33,"1,934.41",13.16,"4,492.25",3,2022
Airtel Payments Bank Apps,5.29,454.64,5.3,460.9,4,2022
Airtel Payments Bank Apps,6.1,486.55,6.11,486.62,5,2022
Airtel Payments Bank Apps,6.38,506.14,6.38,506.2,6,2022
Airtel Payments Bank Apps,7.4,555.09,7.41,555.26,7,2022
Allahabad Bank App,0.02,7.36,0.02,7.36,1,2022
Allahabad Bank App,0.02,6.28,0.02,6.28,2,2022
Allahabad Bank Apps,0.02,6.15,0.02,6.15,3,2022
Allahabad Bank Apps,0.02,6.25,0.02,6.25,5,2022
Allahabad Bank Apps,0.02,6.79,0.02,6.79,6,2022
Allahabad Bank Apps,0.03,6.95,0.03,6.95,7,2022
Amazon Pay,73.5,"6,729.66",73.5,"6,729.66",1,2022
Amazon Pay,63.49,"6,044.47",63.49,"6,044.47",2,2022
Amazon Pay,76.34,"6,894.78",76.34,"6,894.78",3,2022
Amazon Pay,73.21,"6,699.57",73.21,"6,699.57",4,2022
Amazon Pay,74.83,"6,954.18",74.83,"6,954.18",5,2022
Amazon Pay,68.4,"6,541.84",68.4,"6,541.84",6,2022
Amazon Pay,68.77,"6,751.80",68.77,"6,751.80",7,2022
AU Small Finance Bank App,0.23,81.15,0.23,81.15,1,2022
AU Small Finance Bank App,0.25,89.36,0.25,89.36,2,2022
AU Small Finance Bank Apps,0.29,104.48,0.29,104.48,3,2022
AU Small Finance Bank Apps,0.32,109.89,0.32,109.89,4,2022
AU Small Finance Bank Apps,0.35,107.22,0.35,107.22,5,2022
AU Small Finance Bank Apps,0.38,120.24,0.38,120.24,6,2022
AU Small Finance Bank Apps,0.42,131.49,0.42,131.49,7,2022
Axis Bank Apps,6.78,"1,058.77",47.25,"1,093.02",1,2022
Axis Bank Apps,6.9,"1,366.34",54.78,"1,405.26",2,2022
Axis Bank Apps,7.09,"1,045.13",61.29,"1,084.94",3,2022
Axis Bank Apps,7.19,"1,213.44",64.03,"1,257.15",4,2022
Axis Bank Apps,7.46,"1,372.31",58.66,"1,425.16",5,2022
Axis Bank Apps,6.96,"1,217.71",52.6,"1,268.38",6,2022
Axis Bank Apps,7.35,"1,174.32",53.99,"1,213.95",7,2022
Bajaj Finserv,0.24,12.88,0.24,12.88,1,2022
Bajaj Finserv,0.33,19.32,0.33,19.32,2,2022
Bajaj Finserv,0.35,24.08,0.35,24.08,3,2022
Bajaj Finserv,0.52,38.61,0.52,38.61,4,2022
Bajaj Finserv,0.79,58.53,0.79,58.53,5,2022
Bajaj Finserv,1.16,85.49,1.16,85.49,6,2022
Bajaj Finserv,1.95,128.52,1.95,128.52,7,2022
Bajaj Markets,0.01,1.2,0.01,1.2,6,2022
Bajaj Markets,0.02,1.66,0.02,1.66,7,2022
Bandhan Bank Apps,0.01,1.35,0.01,1.35,7,2022
Bank of Baroda Apps,0.71,342.85,0.71,342.85,1,2022
Bank of Baroda Apps,0.67,330.69,0.67,330.69,2,2022
Bank of Baroda Apps,0.69,328.61,0.69,328.61,3,2022
Bank of Baroda Apps,0.77,344.65,0.77,344.65,4,2022
Bank of Baroda Apps,0.88,406.79,0.88,406.79,5,2022
Bank of Baroda Apps,0.83,347.72,0.83,347.72,6,2022
Bank of Baroda Apps,0.88,354.45,0.88,354.45,7,2022
Bank of India App,0.05,20.23,0.05,20.23,1,2022
Bank of India App,0.05,21.28,0.05,21.28,2,2022
Bank of India Apps,0.08,26.22,0.08,26.22,3,2022
Bank of India Apps,0.1,32.62,0.1,32.62,4,2022
Bank of India Apps,0.12,40.04,0.12,40.04,5,2022
Bank of India Apps,0.13,41.82,0.13,41.82,6,2022
Bank of India Apps,0.15,46.44,0.15,46.44,7,2022
Bank of Maharashtra App,0.05,12.46,0.05,12.46,1,2022
Bank of Maharashtra App,0.05,12.49,0.05,12.49,2,2022
Bank of Maharashtra Apps,0.05,15,0.05,15,3,2022
Bank of Maharashtra Apps,0.05,14.56,0.05,14.56,4,2022
Bank of Maharashtra Apps,0.06,16.47,0.06,16.47,5,2022
Bank of Maharashtra Apps,0.06,15.77,0.06,15.77,6,2022
Bank of Maharashtra Apps,0.06,16.47,0.06,16.47,7,2022
BHIM,25.82,"8,511.91",25.82,"8,511.91",1,2022
BHIM,23.25,"7,891.86",23.25,"7,891.86",2,2022
BHIM,24.88,"8,050.24",24.88,"8,050.24",3,2022
BHIM,25.69,"8,354.34",25.69,"8,354.34",4,2022
BHIM,26.57,"9,559.66",26.57,"9,559.66",5,2022
BHIM,22.6,"7,527.98",22.6,"7,527.98",6,2022
BHIM,24.48,"7,823.95",24.48,"7,823.95",7,2022
Canara Bank App,0.26,98.95,0.26,98.95,1,2022
Canara Bank App,0.26,95.78,0.26,95.78,2,2022
Canara Bank Apps,0.31,109.68,0.31,109.68,3,2022
Canara Bank Apps,0.31,110.31,0.31,110.31,4,2022
Canara Bank Apps,0.33,114.09,0.33,114.09,5,2022
Canara Bank Apps,0.34,109.78,0.34,109.78,6,2022
Canara Bank Apps,0.47,128.79,0.47,128.79,7,2022
Central Bank of India App,0.13,47.33,0.13,47.33,1,2022
Central Bank of India App,0.12,45.26,0.12,45.26,2,2022
Central Bank of India Apps,0.14,50.67,0.14,50.67,3,2022
Central Bank of India Apps,0.13,51.04,0.13,51.04,4,2022
Central Bank of India Apps,0.15,55.4,0.15,55.4,5,2022
Central Bank of India Apps,0.15,54.06,0.15,54.06,6,2022
Central Bank of India Apps,0.22,58.37,0.22,58.37,7,2022
Citi Bank App,0.09,77.8,0.09,77.8,1,2022
Citi Bank App,0.08,69.22,0.08,69.22,2,2022
Citi Bank Apps,0.11,68.41,0.11,68.41,3,2022
Citi Bank Apps,0.08,66.03,0.08,66.03,4,2022
Citi Bank Apps,0.13,78.71,0.13,78.71,5,2022
Citi Bank Apps,0.13,63.54,0.13,63.54,6,2022
Citi Bank Apps,0.11,63.66,0.11,63.66,7,2022
City Union Bank App,0.02,4.92,0.02,4.92,1,2022
City Union Bank App,0.02,5.49,0.02,5.49,2,2022
City Union Bank Apps,0.03,7.3,0.03,7.3,3,2022
City Union Bank Apps,0.03,8.41,0.03,8.41,4,2022
City Union Bank Apps,0.03,10.06,0.03,10.06,5,2022
City Union Bank Apps,0.03,8.72,0.03,8.72,6,2022
City Union Bank Apps,0.03,10.19,0.03,10.19,7,2022
Cointab,1.21,179.22,1.21,179.22,1,2022
Cointab,1.73,280.57,1.73,280.57,2,2022
Cointab,0.08,33.22,0.08,33.22,3,2022
Cointab,0.07,28.5,0.07,28.5,4,2022
Cointab,0.06,23.77,0.06,23.77,5,2022
Cointab,0.06,23.99,0.06,23.99,6,2022
Cointab,0.07,27.3,0.07,27.3,7,2022
Cred,10.68,"14,189.86",10.68,"14,189.86",1,2022
Cred,10.08,"13,364.09",10.08,"13,364.09",2,2022
Cred,12.11,"16,136.11",12.11,"16,136.11",3,2022
Cred,13.05,"16,372.92",13.05,"16,372.92",4,2022
Cred,13.89,"18,174.61",13.89,"18,174.61",5,2022
Cred,13.4,"17,583.25",13.4,"17,583.25",6,2022
Cred,14.89,"19,716.43",14.89,"19,716.43",7,2022
DBS Digibank App,0.51,186.79,0.51,186.79,1,2022
DBS Digibank App,0.46,173.63,0.46,173.63,2,2022
DBS Digibank Apps,0.49,185.52,0.49,185.52,3,2022
DBS Digibank Apps,0.47,175.45,0.47,175.45,4,2022
DBS Digibank Apps,0.47,186.33,0.47,186.33,5,2022
DBS Digibank Apps,0.46,171.69,0.46,171.69,6,2022
DBS Digibank Apps,0.47,179.27,0.47,179.27,7,2022
Dena Bank App,0.02,26.5,0.02,26.5,1,2022
Dena Bank App,0.02,23.93,0.02,23.93,2,2022
Dena Bank Apps,0.02,29.32,0.02,29.32,3,2022
Deutsche Bank App,0.92,61.95,0.92,62.08,1,2022
Deutsche Bank App,0.87,70.43,0.87,70.43,2,2022
Deutsche Bank Apps,1.02,91.66,1.02,93.02,3,2022
Deutsche Bank Apps,1.51,128.13,1.51,128.43,4,2022
Deutsche Bank Apps,1.64,116.54,1.64,116.55,5,2022
Deutsche Bank Apps,1.51,99.12,1.51,99.12,6,2022
Deutsche Bank Apps,1.87,116,1.87,116.01,7,2022
Dhanlaxmi Bank App,0.01,2.95,0.01,2.95,1,2022
Dhanlaxmi Bank App,0.01,2.83,0.01,2.83,2,2022
Dhanlaxmi Bank Apps,0.01,3.29,0.01,3.29,3,2022
Dhanlaxmi Bank Apps,0.01,3.02,0.01,3.02,4,2022
Dhanlaxmi Bank Apps,0.01,3.35,0.01,3.35,5,2022
Dhanlaxmi Bank Apps,0.01,2.7,0.01,2.7,6,2022
Dhanlaxmi Bank Apps,0.01,2.86,0.01,2.86,7,2022
Equitas Small Finance Bank Apps,0.01,3.87,0.01,3.87,6,2022
Equitas Small Finance Bank Apps,0.01,4.89,0.01,4.89,7,2022
Fave,0.37,13,0.37,13,3,2022
Fave,0.18,7.73,0.18,7.73,4,2022
Fave,0.1,6.12,0.1,6.12,5,2022
Fave,0.12,6.94,0.12,6.94,6,2022
Fave,0.16,11.06,0.16,11.06,7,2022
Federal Bank App,0.54,109.25,0.54,109.25,1,2022
Federal Bank App,0.55,108.21,0.55,108.21,2,2022
Federal Bank Apps,2.45,360.96,2.45,360.96,3,2022
Federal Bank Apps,2.7,375.64,2.7,375.64,4,2022
Federal Bank Apps,3.42,474.12,3.42,474.12,5,2022
Federal Bank Apps,3.55,494.21,3.55,494.21,6,2022
Federal Bank Apps,3.85,539.55,3.85,539.55,7,2022
Fino Payments bank App,0.03,2.79,0.03,2.79,1,2022
Fino Payments bank App,0.03,3.25,0.03,3.25,2,2022
Fino Payments bank Apps,0.04,3.47,0.04,3.47,3,2022
Fino Payments bank Apps,0.04,3.26,0.04,3.26,4,2022
Fino Payments bank Apps,0.04,3.83,0.04,3.83,5,2022
Fino Payments bank Apps,0.05,3.17,0.05,3.17,6,2022
Fino Payments Bank Apps,0.06,4.26,0.06,4.26,7,2022
Finserv Markets,0.03,1.49,0.03,1.49,3,2022
Finserv Markets,0.01,1.06,0.01,1.06,4,2022
Finserv Markets,0.01,1.01,0.01,1.01,5,2022
Finshell Pay,0.07,3.69,0.07,3.69,1,2022
Finshell Pay,0.06,3.8,0.06,3.8,2,2022
Finshell Pay,0.08,4,0.08,4,3,2022
Finshell Pay,0.08,4.45,0.08,4.45,4,2022
Finshell Pay,0.09,4.68,0.09,4.68,5,2022
Finshell Pay,0.1,5.3,0.1,5.3,6,2022
GoIbibo,0.02,5.91,0.02,5.91,3,2022
GoIbibo,0.01,3.31,0.01,3.31,4,2022
GoIbibo,0.01,2.41,0.01,2.41,5,2022
GoIbibo,0.01,3.87,0.01,3.87,6,2022
GoIbibo,0.01,5.1,0.01,5.1,7,2022
Google Pay,"1,584.20","2,98,267.07","1,584.20","2,98,267.07",1,2022
Google Pay,"1,524.09","2,91,273.46","1,524.09","2,91,273.46",2,2022
Google Pay,"1,838.12","3,38,873.25","1,838.12","3,38,873.25",3,2022
Google Pay,"1,914.77","3,44,791.35","1,914.77","3,44,791.35",4,2022
Google Pay,"2,079.92","3,65,989.27","2,079.92","3,65,989.27",5,2022
Google Pay,"2,025.89","3,55,137.20","2,025.89","3,55,137.20",6,2022
Google Pay,"2,130.63","3,66,669.09","2,130.63","3,66,669.09",7,2022
Groww,0.83,472.71,0.83,472.71,3,2022
Groww,0.61,376.18,0.61,376.18,4,2022
Groww,0.51,335.28,0.51,335.28,5,2022
Groww,0.72,416.73,0.72,416.73,6,2022
Groww,0.49,290.31,0.49,290.31,7,2022
HDFC Bank Apps,4.94,"1,366.89",4.94,"1,366.89",1,2022
HDFC Bank Apps,4.59,"1,370.03",4.59,"1,370.03",2,2022
HDFC Bank Apps,5.45,"1,624.54",5.45,"1,624.54",3,2022
HDFC Bank Apps,5.9,"1,759.12",5.9,"1,759.12",4,2022
HDFC Bank Apps,6.95,"1,981.11",6.95,"1,981.11",5,2022
HDFC Bank Apps,8.24,"2,066.22",8.24,"2,066.22",6,2022
HDFC Bank Apps,9.38,"2,341.28",9.38,"2,341.28",7,2022
HSBC Bank App,0.08,54.47,0.08,54.57,1,2022
HSBC Bank App,0.08,52.94,0.08,52.97,2,2022
HSBC Bank Apps,0.1,61.85,0.1,62,3,2022
HSBC Bank Apps,0.11,59.7,0.11,59.72,4,2022
HSBC Bank Apps,0.1,63.07,0.1,63.17,5,2022
HSBC Bank Apps,0.11,61.38,0.11,61.39,6,2022
HSBC Bank Apps,0.11,68.43,0.11,68.47,7,2022
ICICI Bank Apps,29.87,"8,491.18",33.43,"8,707.05",1,2022
ICICI Bank Apps,27.39,"8,537.11",30.66,"8,727.44",2,2022
ICICI Bank Apps,31.49,"10,304.08",35.13,"10,538.69",3,2022
ICICI Bank Apps,32.82,"9,086.72",37.65,"9,356.17",4,2022
ICICI Bank Apps,32.75,"9,221.65",37.59,"11,056.90",5,2022
ICICI Bank Apps,35.25,"6,931.44",39.37,"10,202.14",6,2022
ICICI Bank Apps,32.53,"7,745.19",37.34,"11,509.29",7,2022
IDBI Bank App,0.02,12.54,0.02,12.54,1,2022
IDBI Bank App,0.02,14.6,0.02,14.6,2,2022
IDBI Bank Apps,0.03,16.25,0.03,16.25,3,2022
IDBI Bank Apps,0.03,16.78,0.03,16.78,4,2022
IDBI Bank Apps,0.03,18.48,0.03,18.48,5,2022
IDBI Bank Apps,0.03,15.71,0.03,15.71,6,2022
IDBI Bank Apps,0.03,16.42,0.03,16.42,7,2022
IDFC Bank App,1.22,316.37,1.22,316.37,1,2022
IDFC Bank App,1.21,321.93,1.21,321.93,2,2022
IDFC Bank Apps,2.7,534.56,2.7,534.56,3,2022
IDFC Bank Apps,2.49,532.69,2.49,532.69,4,2022
IDFC Bank Apps,4.75,626.34,4.75,626.34,5,2022
IDFC Bank Apps,7.03,663.65,7.03,663.65,6,2022
IDFC Bank Apps,8.28,645.34,8.28,645.34,7,2022
India Post Payments Bank App,2.65,309.42,2.65,309.42,1,2022
India Post Payments Bank App,2.21,268.9,2.21,268.9,2,2022
India Post Payments Bank Apps,2.95,321.14,2.95,321.14,3,2022
India Post Payments Bank Apps,2.8,328.53,2.8,328.53,4,2022
India Post Payments Bank Apps,3.1,351.88,3.1,351.88,5,2022
India Post Payments Bank Apps,3.98,467.34,3.98,467.34,6,2022
India Post Payments Bank Apps,4.08,480.59,4.08,480.59,7,2022
Indian Bank App,0.13,47.42,0.13,47.42,1,2022
Indian Bank App,0.11,42.07,0.11,42.07,2,2022
Indian Bank Apps,0.11,42.26,0.11,42.26,3,2022
Indian Bank Apps,0.14,49.9,0.14,49.9,4,2022
Indian Bank Apps,0.16,53.11,0.16,53.13,5,2022
Indian Bank Apps,0.17,53.3,0.17,53.68,6,2022
Indian Bank Apps,0.2,58.15,0.21,71.39,7,2022
Indian Overseas Bank Apps,0.01,1.62,0.01,1.62,3,2022
Indian Overseas Bank Apps,0.01,1.52,0.01,1.52,4,2022
Indian Overseas Bank Apps,0.01,2.35,0.01,2.35,5,2022
